Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),coordinates
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,"48.7665, 11.4259"
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,25,262,"48.7665, 11.4259"
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,"48.7665, 11.4259"
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258,"48.7665, 11.4259"
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,25,265,"48.7665, 11.4259"
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,"48.7665, 11.4259"
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258,"48.7665, 11.4259"
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,14.7,9.7,12.5,23,288,"48.7665, 11.4259"
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363,"48.7665, 11.4259"
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,"48.7665, 11.4259"
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242,"48.7665, 11.4259"
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239,"48.7665, 11.4259"
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258,"48.7665, 11.4259"
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244,"48.7665, 11.4259"
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212,"48.7665, 11.4259"
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304,"48.7665, 11.4259"
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290,"48.7665, 11.4259"
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,"48.7665, 11.4259"
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,"48.7665, 11.4259"
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,"48.7665, 11.4259"
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,"48.7665, 11.4259"
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,"48.7665, 11.4259"
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,"48.7665, 11.4259"
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,"48.7665, 11.4259"
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,"48.7665, 11.4259"
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306,"48.7665, 11.4259"
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308,"48.7665, 11.4259"
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293,"48.7665, 11.4259"
AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,"48.7665, 11.4259"
AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,"48.7665, 11.4259"
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,"48.7665, 11.4259"
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,"48.7665, 11.4259"
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267,"48.7665, 11.4259"
AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,"48.7665, 11.4259"
AUDI,S7,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,"48.7665, 11.4259"
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300,"48.7665, 11.4259"
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292,"48.7665, 11.4259"
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209,"48.7665, 11.4259"
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209,"48.7665, 11.4259"
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237,"48.7665, 11.4259"
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237,"48.7665, 11.4259"
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314,"53.10444, -2.47389"
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356,"53.10444, -2.47389"
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332,"53.10444, -2.47389"
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,"53.10444, -2.47389"
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,"53.10444, -2.47389"
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,"53.10444, -2.47389"
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437,"53.10444, -2.47389"
BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,"48.1351, 11.5820"
BMW,320i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,"48.1351, 11.5820"
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202,"48.1351, 11.5820"
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181,"48.1351, 11.5820"
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181,"48.1351, 11.5820"
BMW,328i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,"48.1351, 11.5820"
BMW,328i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,"48.1351, 11.5820"
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,"48.1351, 11.5820"
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,"48.1351, 11.5820"
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,"48.1351, 11.5820"
BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,"48.1351, 11.5820"
BMW,335i,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,"48.1351, 11.5820"
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,"48.1351, 11.5820"
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,"48.1351, 11.5820"
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,"48.1351, 11.5820"
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,"48.1351, 11.5820"
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,"48.1351, 11.5820"
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,"48.1351, 11.5820"
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,"48.1351, 11.5820"
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,"48.1351, 11.5820"
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,"48.1351, 11.5820"
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,"48.1351, 11.5820"
BMW,528i,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202,"48.1351, 11.5820"
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,"48.1351, 11.5820"
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213,"48.1351, 11.5820"
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,"48.1351, 11.5820"
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,"48.1351, 11.5820"
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,"48.1351, 11.5820"
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232,"48.1351, 11.5820"
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,"48.1351, 11.5820"
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,"48.1351, 11.5820"
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356,"48.1351, 11.5820"
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191,"48.1351, 11.5820"
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214,"48.1351, 11.5820"
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212,"48.1351, 11.5820"
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,"48.1351, 11.5820"
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,"48.1351, 11.5820"
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317,"48.1351, 11.5820"
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,"48.1351, 11.5820"
BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,"48.1351, 11.5820"
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,"48.1351, 11.5820"
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,"48.1351, 11.5820"
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,"48.1351, 11.5820"
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,"48.1351, 11.5820"
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,"48.1351, 11.5820"
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260,"48.1351, 11.5820"
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230,"48.1351, 11.5820"
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253,"48.1351, 11.5820"
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255,"48.1351, 11.5820"
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320,"48.1351, 11.5820"
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370,"48.1351, 11.5820"
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,24,274,"48.1351, 11.5820"
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324,"48.1351, 11.5820"
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209,"48.1351, 11.5820"
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200,"48.1351, 11.5820"
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278,"48.1351, 11.5820"
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253,"48.1351, 11.5820"
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278,"48.1351, 11.5820"
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,"42.3314, -83.0458"
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,"42.3314, -83.0458"
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196,"42.3314, -83.0458"
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212,"42.3314, -83.0458"
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264,"42.3314, -83.0458"
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250,"42.3314, -83.0458"
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264,"42.3314, -83.0458"
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13.0,16.5,17,264,"42.3314, -83.0458"
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,"42.3314, -83.0458"
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,"42.3314, -83.0458"
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225,"42.3314, -83.0458"
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246,"42.3314, -83.0458"
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,"42.3314, -83.0458"
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,"42.3314, -83.0458"
BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225,"42.3314, -83.0458"
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218,"42.3314, -83.0458"
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221,"42.3314, -83.0458"
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,28,235,"42.3314, -83.0458"
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207,"42.3314, -83.0458"
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251,"42.3314, -83.0458"
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,28,232,"42.3314, -83.0458"
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,25,260,"42.3314, -83.0458"
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258,"42.3314, -83.0458"
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262,"42.3314, -83.0458"
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,28,232,"42.3314, -83.0458"
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248,"42.3314, -83.0458"
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,26,248,"42.3314, -83.0458"
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260,"42.3314, -83.0458"
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294,"42.3314, -83.0458"
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253,"42.3314, -83.0458"
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260,"42.3314, -83.0458"
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,25,255,"42.3314, -83.0458"
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,25,262,"42.3314, -83.0458"
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,"42.3314, -83.0458"
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,"42.3314, -83.0458"
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,"42.3314, -83.0458"
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,"42.3314, -83.0458"
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,"42.3314, -83.0458"
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340,"42.3314, -83.0458"
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338,"42.3314, -83.0458"
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,"42.3314, -83.0458"
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377,"42.3314, -83.0458"
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354,"42.3314, -83.0458"
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283,"42.3314, -83.0458"
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294,"42.3314, -83.0458"
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262,"42.3314, -83.0458"
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271,"42.3314, -83.0458"
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290,"42.3314, -83.0458"
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258,"42.3314, -83.0458"
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269,"42.3314, -83.0458"
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242,"42.3314, -83.0458"
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294,"42.3314, -83.0458"
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292,"42.3314, -83.0458"
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,"42.3314, -83.0458"
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340,"42.3314, -83.0458"
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,24,276,"42.3314, -83.0458"
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258,"42.3314, -83.0458"
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179,"42.3314, -83.0458"
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179,"42.3314, -83.0458"
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202,"42.3314, -83.0458"
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189,"42.3314, -83.0458"
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,D,8.7,5.1,7.1,40,192,"42.3314, -83.0458"
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6.0,7.7,37,177,"42.3314, -83.0458"
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163,"42.3314, -83.0458"
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,"42.3314, -83.0458"
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,24,276,"42.3314, -83.0458"
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259,"42.3314, -83.0458"
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230,"42.3314, -83.0458"
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,"42.3314, -83.0458"
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272,"42.3314, -83.0458"
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347,"42.3314, -83.0458"
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366,"42.3314, -83.0458"
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,"42.3314, -83.0458"
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,"42.3314, -83.0458"
